id,query
1,"extract v:Str from ""input.txt"" if (/root: {v= /root/advmod })"
2,"extract v:Str from ""input.txt"" if (/root: {v= /root/prep/pobj/relcl })"
3,"extract v:Str from ""input.txt"" if (/root: {v= /root/nsubj/prep/pobj })"
4,"extract v:Str from ""input.txt"" if (/root: {v= /root/prep/pobj })"
5,"extract v:Str from ""input.txt"" if (/root: {v= /root/csubj/conj/prep/pobj })"
6,"extract v:Str from ""input.txt"" if (/root: {v= /root/nsubj/poss })"
7,"extract v:Str from ""input.txt"" if (/root: {v= /root/acomp/xcomp })"
8,"extract v:Str from ""input.txt"" if (/root: {v= /root/agent })"
9,"extract v:Str from ""input.txt"" if (/root: {v= /root/punct })"
10,"extract v:Str from ""input.txt"" if (/root: {v= /root/auxpass/prep/pobj })"
11,"extract v:Str from ""input.txt"" if (/root: {v= /root/advcl/dobj })"
12,"extract v:Str from ""input.txt"" if (/root: {v= /root/ccomp/dobj/amod })"
13,"extract v:Str from ""input.txt"" if (/root: {v= /root/conj/xcomp })"
14,"extract v:Str from ""input.txt"" if (/root: {v= /root/conj/prep })"
15,"extract v:Str from ""input.txt"" if (/root: {v= /root/conj/dobj/prep/pobj })"
16,"extract v:Str from ""input.txt"" if (/root: {v= /root/acomp/xcomp/prep/pobj })"
17,"extract v:Str from ""input.txt"" if (/root: {v= /root/xcomp/advmod })"
18,"extract v:Str from ""input.txt"" if (/root: {v= /root/punct })"
19,"extract v:Str from ""input.txt"" if (/root: {v= /root/nsubj/prep })"
20,"extract v:Str from ""input.txt"" if (/root: {v= /root/prep/pcomp })"
21,"extract v:Str from ""input.txt"" if (/root: {v= /root/advcl/prep/pobj/relcl/aux })"
22,"extract v:Str from ""input.txt"" if (/root: {v= /root/prep/pobj/compound })"
23,"extract v:Str from ""input.txt"" if (/root: {v= /root/attr/prep/pobj/poss })"
24,"extract v:Str from ""input.txt"" if (/root: {v= /root/nsubj/det })"
25,"extract v:Str from ""input.txt"" if (/root: {v= /root/dobj/prep })"
