id,query
1,"extract x:str from ""input.txt"" if (/root: { x =/root/npadvmod/prep/pobj/*})"
2,"extract x:str from ""input.txt"" if (/root: { x =//root/amod/conj})"
3,"extract x:str from ""input.txt"" if (/root: { x =//root/csubjpass})"
4,"extract x:str from ""input.txt"" if (/root: { x =/*/ccomp[@pos=""verb""]/dobj[@pos=""noun""]/compound[@pos=""noun""]/amod[@pos=""noun""]})"
5,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/conj[@pos=""verb""]/nsubj[@pos=""noun""]/*/conj[@pos=""verb""]})"
6,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/conj[@pos=""verb""]/prep[@pos=""adp""]/pobj[@pos=""noun""]/*})"
7,"extract x:str from ""input.txt"" if (/root: { x =/*/dobj[@pos=""noun""]/prep[@pos=""adp""]/pobj[@pos=""noun""]/parataxis[@pos=""noun"",@text=""km""]})"
8,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/conj[@pos=""verb""]/*})"
9,"extract x:str from ""input.txt"" if (/root: { x =//root[@pos=""verb""]/prep[@pos=""adp""]/pobj[@pos=""noun""]/det[@pos=""det"",@text=""the""]})"
10,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""propn""]/amod[@pos=""verb""]/neg[@pos=""adv""]})"
11,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/dep[@pos=""verb""]/dobj[@pos=""noun""]/cc[@pos=""cconj""]})"
12,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""propn""]/*/det[@pos=""propn""]})"
13,"extract x:str from ""input.txt"" if (/root: { x =/*/advcl[@pos=""verb""]/dobj[@pos=""verb""]})"
14,"extract x:str from ""input.txt"" if (/root: { x =/*/nsubj[@pos=""noun""]/acl[@pos=""verb""]})"
15,"extract x:str from ""input.txt"" if (/root: { x =/root/*/intj})"
16,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/ccomp[@pos=""noun""]/amod[@pos=""adj""]/*})"
17,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""part""]/pobj[@pos=""propn""]})"
18,"extract x:str from ""input.txt"" if (/root: { x =/root/npadvmod/*/amod})"
19,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/conj[@pos=""verb""]/attr[@pos=""noun"",@text=""member""]})"
20,"extract x:str from ""input.txt"" if (/root: { x =/*/advmod[@pos=""adv"",@text=""easily""]})"
21,"extract x:str from ""input.txt"" if (/root: { x =//root[@pos=""verb""]/conj[@pos=""verb""]/nsubj[@pos=""noun""]/acl[@pos=""verb""]/conj[@pos=""verb""]})"
22,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/ccomp[@pos=""verb""]/dobj[@pos=""noun""]/*/amod[@pos=""noun""]})"
23,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/*/dobj[@pos=""verb""]})"
24,"extract x:str from ""input.txt"" if (/root: { x =/root/ccomp/advcl/*/mark})"
25,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/attr[@pos=""noun""]/*/nsubj[@pos=""adj"",@text=""that""]})"
26,"extract x:str from ""input.txt"" if (/root: { x =//root[@pos=""propn""]/conj[@pos=""verb""]/advcl[@pos=""verb""]/mark[@pos=""adp""]})"
27,"extract x:str from ""input.txt"" if (/root: { x =//root[@pos=""verb""]/dobj[@pos=""noun""]/prep[@pos=""adp"",@text=""of""]})"
28,"extract x:str from ""input.txt"" if (/root: { x =//root[@pos=""verb""]/nsubj[@pos=""propn""]/prep[@pos=""adp""]/pobj[@pos=""det""]})"
29,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/*/prep[@pos=""adp""]/prep[@pos=""adp""]/pobj[@pos=""noun""]})"
30,"extract x:str from ""input.txt"" if (/root: { x =/root/npadvmod/prep/*/acl})"
31,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/dobj[@pos=""noun""]/*/pobj[@pos=""noun""]/prep[@pos=""adp"",@text=""per""]})"
32,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/dobj[@pos=""noun""]/prep[@pos=""adp""]/pobj[@pos=""noun""]/*})"
33,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/*/nummod[@pos=""num""]})"
34,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/conj[@pos=""verb""]/prep[@pos=""adp""]/*/prep[@pos=""adp"",@text=""to""]})"
35,"extract x:str from ""input.txt"" if (/root: { x =/root/oprd/prep/pcomp/advmod})"
36,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/ccomp[@pos=""verb""]/dobj[@pos=""noun""]/compound[@pos=""noun""]/*})"
37,"extract x:str from ""input.txt"" if (/root: { x =//root[@pos=""noun""]/xcomp[@pos=""verb""]/advcl[@pos=""verb""]})"
38,"extract x:str from ""input.txt"" if (/root: { x =/root/advcl/*/conj/aux})"
39,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/xcomp[@pos=""verb""]/advcl[@pos=""verb""]/advmod[@pos=""adp""]})"
40,"extract x:str from ""input.txt"" if (/root: { x =/root/*/advcl})"
41,"extract x:str from ""input.txt"" if (/root: { x =//root[@pos=""verb""]/advmod[@pos=""verb""]})"
42,"extract x:str from ""input.txt"" if (/root: { x =//root[@pos=""noun""]/prep[@pos=""adp""]/pobj[@pos=""noun""]/acl[@pos=""verb"",@text=""released""]})"
43,"extract x:str from ""input.txt"" if (/root: { x =/*/advcl[@pos=""verb"",@text=""stemming""]})"
44,"extract x:str from ""input.txt"" if (/root: { x =/root/appos/*/nmod})"
45,"extract x:str from ""input.txt"" if (/root: { x =//root[@pos=""verb""]/advcl[@pos=""verb""]/prep[@pos=""adp""]/pobj[@pos=""propn""]/compound[@pos=""propn"",@text=""film""]})"
46,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/*/prep[@pos=""adp"",@text=""than""]})"
47,"extract x:str from ""input.txt"" if (/root: { x =/root/dep/dobj/*})"
48,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""noun""]/prep[@pos=""adp""]/pobj[@pos=""noun"",@text=""systems""]})"
49,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/*/prep[@pos=""adp""]/pobj[@pos=""noun""]/prep[@pos=""adp"",@text=""to""]})"
50,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/*/nsubj[@pos=""pron"",@text=""he""]})"
51,"extract x:str from ""input.txt"" if (/root: { x =/root/amod/conj})"
52,"extract x:str from ""input.txt"" if (/root: { x =/*/dobj[@pos=""noun"",@text=""brothers""]})"
53,"extract x:str from ""input.txt"" if (/root: { x =/*/ccomp[@pos=""verb""]/nsubj[@pos=""pron"",@text=""he""]})"
54,"extract x:str from ""input.txt"" if (/root: { x =/*/prep[@pos=""adp""]/pobj[@pos=""noun"",@text=""systems""]})"
55,"extract x:str from ""input.txt"" if (/root: { x =/root/conj/xcomp/*})"
56,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/*/amod[@pos=""adj""]/npadvmod[@pos=""noun""]})"
57,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/prep[@pos=""adp""]/pobj[@pos=""noun""]/*})"
58,"extract x:str from ""input.txt"" if (/root: { x =/*/conj[@pos=""x""]})"
59,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/dobj[@pos=""noun""]/*/pobj[@pos=""noun""]/parataxis[@pos=""noun"",@text=""km""]})"
60,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/ccomp[@pos=""verb""]/*})"
61,"extract x:str from ""input.txt"" if (/root: { x =//root[@pos=""verb""]/dep[@pos=""verb""]/dobj[@pos=""noun""]/cc[@pos=""cconj""]})"
62,"extract x:str from ""input.txt"" if (/root: { x =//root[@pos=""noun""]/appos[@pos=""verb""]/dobj[@pos=""propn""]})"
63,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/dobj[@pos=""propn""]/prep[@pos=""adp""]/*/prep[@pos=""adp"",@text=""of""]})"
64,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/*/attr[@pos=""noun"",@text=""member""]})"
65,"extract x:str from ""input.txt"" if (/root: { x =/*/advcl/intj})"
66,"extract x:str from ""input.txt"" if (/root: { x =/*/agent/cc})"
67,"extract x:str from ""input.txt"" if (/root: { x =/root/oprd/prep/pcomp/*})"
68,"extract x:str from ""input.txt"" if (/root: { x =/root/agent/*})"
69,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""propn""]/conj[@pos=""verb""]/advcl[@pos=""verb""]/mark[@pos=""adp""]})"
70,"extract x:str from ""input.txt"" if (/root: { x =/root/*/nmod/amod})"
71,"extract x:str from ""input.txt"" if (/root: { x =/*/dobj/relcl/attr/relcl})"
72,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/*/prep[@pos=""adp""]/pobj[@pos=""noun""]/prep[@pos=""adp"",@text=""per""]})"
73,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/dep[@pos=""verb""]/*/cc[@pos=""cconj""]})"
74,"extract x:str from ""input.txt"" if (/root: { x =//root[@pos=""verb""]/xcomp[@pos=""verb""]/advmod[@pos=""adp""]})"
75,"extract x:str from ""input.txt"" if (/root: { x =/root/*/amod/compound})"
76,"extract x:str from ""input.txt"" if (/root: { x =/*/npadvmod/prep/pobj/acl})"
77,"extract x:str from ""input.txt"" if (/root: { x =/*/nsubjpass[@pos=""noun""]/prep[@pos=""part""]})"
78,"extract x:str from ""input.txt"" if (/root: { x =//root[@pos=""verb""]/ccomp[@pos=""noun""]/amod[@pos=""adj""]/npadvmod[@pos=""noun""]})"
79,"extract x:str from ""input.txt"" if (/root: { x =/root/appos/nsubj/nmod})"
80,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/*/prep[@pos=""adp"",@text=""of""]})"
81,"extract x:str from ""input.txt"" if (/root: { x =/root/dobj/relcl/*/relcl})"
82,"extract x:str from ""input.txt"" if (/root: { x =/root/advcl/conj/conj/aux})"
83,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/nsubjpass[@pos=""noun""]/*})"
84,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/dobj[@pos=""propn""]/*/pobj[@pos=""propn""]/prep[@pos=""adp"",@text=""of""]})"
85,"extract x:str from ""input.txt"" if (/root: { x =/root/*/advcl/ccomp/mark})"
86,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/conj[@pos=""verb""]/*/acl[@pos=""verb""]/conj[@pos=""verb""]})"
87,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/advcl[@pos=""verb"",@text=""let""]})"
88,"extract x:str from ""input.txt"" if (/root: { x =//root[@pos=""verb""]/ccomp[@pos=""verb""]/dobj[@pos=""noun""]/compound[@pos=""noun""]/amod[@pos=""noun""]})"
89,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""noun""]/prep[@pos=""adp""]/pobj[@pos=""noun""]/*})"
90,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/prep[@pos=""adp""]/pobj[@pos=""noun""]/*})"
91,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/dobj[@pos=""noun""]/prep[@pos=""adp""]/*/prep[@pos=""adp"",@text=""per""]})"
92,"extract x:str from ""input.txt"" if (/root: { x =/root/npadvmod/nmod/*})"
93,"extract x:str from ""input.txt"" if (/root: { x =/root/*/cc})"
94,"extract x:str from ""input.txt"" if (/root: { x =//root[@pos=""noun""]/conj[@pos=""x""]})"
95,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/dobj[@pos=""propn""]/prep[@pos=""adp""]/pobj[@pos=""propn""]/prep[@pos=""adp"",@text=""of""]})"
96,"extract x:str from ""input.txt"" if (/root: { x =/root/oprd/*/pcomp/advmod})"
97,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/dobj[@pos=""noun""]/prep[@pos=""adp""]/pobj[@pos=""noun""]/parataxis[@pos=""noun"",@text=""km""]})"
98,"extract x:str from ""input.txt"" if (/root: { x =/root/quantmod})"
99,"extract x:str from ""input.txt"" if (/root: { x =/*/prep[@pos=""adp""]/pobj[@pos=""noun""]/prep[@pos=""adp"",@text=""of""]})"
100,"extract x:str from ""input.txt"" if (/root: { x =/root/appos/*/det})"
101,"extract x:str from ""input.txt"" if (/root: { x =/root/conj/amod/*})"
102,"extract x:str from ""input.txt"" if (/root: { x =/*/amod[@pos=""verb""]/neg[@pos=""adv""]})"
103,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/*/prep[@pos=""part""]})"
104,"extract x:str from ""input.txt"" if (/root: { x =/*/dobj[@pos=""propn""]/prep[@pos=""adp""]/pobj[@pos=""propn""]/prep[@pos=""adp"",@text=""of""]})"
105,"extract x:str from ""input.txt"" if (/root: { x =/root/appos/intj/*})"
106,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/advcl[@pos=""verb""]/prep[@pos=""adp""]/pobj[@pos=""propn""]/*})"
107,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/dobj[@pos=""noun""]/prep[@pos=""adp"",@text=""of""]})"
108,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/prep[@pos=""adp""]/prep[@pos=""verb""]/*/pobj[@pos=""noun""]})"
109,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/xcomp[@pos=""verb""]/*/prep[@pos=""adp""]/pobj[@pos=""noun""]})"
110,"extract x:str from ""input.txt"" if (/root: { x =//root[@pos=""noun""]/nsubj[@pos=""noun""]/acl[@pos=""verb""]})"
111,"extract x:str from ""input.txt"" if (/root: { x =/*/advcl[@pos=""verb""]/prep[@pos=""adp""]/pobj[@pos=""propn""]/compound[@pos=""propn"",@text=""film""]})"
112,"extract x:str from ""input.txt"" if (/root: { x =/root/dep/dobj/amod})"
113,"extract x:str from ""input.txt"" if (/root: { x =/root/oprd/prep/*/advmod})"
114,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/nsubjpass[@pos=""pron"",@text=""it""]})"
115,"extract x:str from ""input.txt"" if (/root: { x =/root/dobj/*/attr/relcl})"
116,"extract x:str from ""input.txt"" if (/root: { x =/root/*/amod/det})"
117,"extract x:str from ""input.txt"" if (/root: { x =/*/conj[@pos=""verb""]/xcomp[@pos=""verb""]/prep[@pos=""part""]/pobj[@pos=""noun""]})"
118,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/advcl[@pos=""verb"",@text=""stemming""]})"
119,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/xcomp[@pos=""verb""]/prep[@pos=""adp""]/prep[@pos=""adp""]/*})"
120,"extract x:str from ""input.txt"" if (/root: { x =/root/dobj/relcl/attr/*})"
121,"extract x:str from ""input.txt"" if (/root: { x =/*/attr[@pos=""noun""]/relcl[@pos=""verb""]/nsubj[@pos=""adj"",@text=""that""]})"
122,"extract x:str from ""input.txt"" if (/root: { x =//root[@pos=""verb""]/conj[@pos=""verb""]/prep[@pos=""adp""]/pobj[@pos=""noun""]/prep[@pos=""adp"",@text=""to""]})"
123,"extract x:str from ""input.txt"" if (/root: { x =/*/acomp[@pos=""adj""]/prep[@pos=""adp"",@text=""than""]})"
124,"extract x:str from ""input.txt"" if (/root: { x =/*/csubjpass})"
125,"extract x:str from ""input.txt"" if (/root: { x =/root/*/prep/pcomp/advmod})"
126,"extract x:str from ""input.txt"" if (/root: { x =//root[@pos=""verb""]/dobj[@pos=""noun"",@text=""brothers""]})"
127,"extract x:str from ""input.txt"" if (/root: { x =/*/prep[@pos=""adp""]/pobj[@pos=""noun""]/acl[@pos=""verb"",@text=""released""]})"
128,"extract x:str from ""input.txt"" if (/root: { x =//root[@pos=""verb""]/acomp[@pos=""adj""]/prep[@pos=""adp"",@text=""than""]})"
129,"extract x:str from ""input.txt"" if (/root: { x =//root/npadvmod/nmod/amod})"
130,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/attr[@pos=""noun""]/relcl[@pos=""verb""]/nsubj[@pos=""adj"",@text=""that""]})"
131,"extract x:str from ""input.txt"" if (/root: { x =/*/xcomp[@pos=""verb""]/advmod[@pos=""adp""]})"
132,"extract x:str from ""input.txt"" if (/root: { x =/root/npadvmod/nmod/amod})"
133,"extract x:str from ""input.txt"" if (/root: { x =/*/conj/amod/compound})"
134,"extract x:str from ""input.txt"" if (/root: { x =/root/appos/amod/det})"
135,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/ccomp[@pos=""verb""]/*/compound[@pos=""noun""]/amod[@pos=""noun""]})"
136,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/*/prep[@pos=""verb""]/prep[@pos=""adp""]/pobj[@pos=""noun""]})"
137,"extract x:str from ""input.txt"" if (/root: { x =/root/*/prep/pobj/acl})"
138,"extract x:str from ""input.txt"" if (/root: { x =//root/oprd/prep/pcomp/advmod})"
139,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/prep[@pos=""adp""]/pobj[@pos=""noun""]/amod[@pos=""adj"",@text=""rural""]})"
140,"extract x:str from ""input.txt"" if (/root: { x =/root/nmod/*})"
141,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""noun""]/appos[@pos=""verb""]/dobj[@pos=""propn""]})"
142,"extract x:str from ""input.txt"" if (/root: { x =//root[@pos=""verb""]/nsubjpass[@pos=""pron"",@text=""it""]})"
143,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""noun""]/*/dobj[@pos=""propn""]})"
144,"extract x:str from ""input.txt"" if (/root: { x =/root[@pos=""verb""]/ccomp[@pos=""noun""]/amod[@pos=""adj""]/npadvmod[@pos=""noun""]})"
145,"extract x:str from ""input.txt"" if (/root: { x =/root/advcl/intj})"
